emso,ime,priimek,rojstni_dan,ekipa
230,Ulberto,Esposita,24/06/2000,Crimson
231,Rodrick,Tuckwell,11/06/1995,Mauv
232,Wes,Clifton,29/01/1995,Mauv
233,Gustave,Jupp,17/02/1991,Mauv
234,Thorstein,Poacher,13/02/1999,Mauv
235,Fergus,Adacot,26/03/1993,Mauv
236,Haily,Mebs,31/03/2000,Aquamarine
237,Hamid,Carlin,22/02/1996,Aquamarine
238,Justis,Grievson,09/08/1992,Aquamarine
239,Gawain,Jedrzejewski,19/08/1999,Aquamarine
240,Dallas,Eversfield,17/02/1997,Aquamarine
241,Hieronymus,Oppie,16/03/2000,Violet
242,Herbert,Plank,23/08/1991,Violet
243,Ky,Hannabus,17/02/1997,Violet
244,Bren,Lilbourne,15/01/1997,Violet
245,Gallard,Melliard,07/04/1997,Violet
246,Arman,Townsend,18/10/1995,Indigo
247,Luciano,Lightoller,12/11/1995,Indigo
248,Dale,Willgoose,02/07/1994,Indigo
249,Alwyn,Seleway,21/07/1993,Indigo
250,Teodor,Denning,29/07/2000,Indigo
